sessionKey,userType,usefulness_easy,usefulness_productivity,usefulness_general,intention_use,general_feedback
R1CAIXTJ,expert,5,6,6,3,"I think it is very easy and convenient to generate an initial model. However, it is difficult and requires a lot of experience to evaluate this model and identify the introduced errors. When using the tool, it suggests that the solution is fine. This is kind of misleading for non-experts? In the two examples I had to assess, they looked good at first glance but contained fundamental errors in the control-flow and had missing activities. Overall, I find the tool very useful, but particularly for experts."
R2BVQTYK,expert,5,5,6,5,
R1DJVSFC,expert,6,6,6,6,
R1UDJTYD,expert,5,3,5,2,"It was frustrating to get the chatbot to do what I wanted. It's somewhat manageable with very specific instructions (e.g., task x comes after task y), but then it is more effective to do it by hand. When given additional elaborations on some parts of the process, it sometimes redraw the process entirely instead of just the mentioned parts. You cannot have an actual conversation with the chatbot, e.g., the user cannot interact by asking questions or by demanding explanations. This makes interacting feel somewhat ""one-sided"". It also seems to not understand references to selected elements. I think improvements in how the user is capable to interact with the chatbot could make the experience less frustrating.
However, in its current form, it is very useful to draft processes from textual description, even without many details provided. Subsequent refinement of the process is the challenge. The checkers were useful for identifying problems. The autofix functionality did not produces very accurate results in my testing."
R1MXHSCE,expert,5,5,7,4,
R1XSJGHP,expert,5,6,6,5,
R1MLAFMY,expert,5,5,5,5,I would like to be able to change small things in the model without natural language (with a graphical editor). Closing the pool (black box) did not work (pool disappered).  The data sources/sinks caused me the most problems. The  Numbering of gateways and tasks would be helpful to reference them in the text. Can the tool also splitt a model into sub-processes (for larger models)?  Is it traceable for the user from which text  became what? Nice approach :)
R2EYARSS,expert,4,6,7,7,"Using the BPMN-Chatbot as assistant for modeling can be of great help. Although sometimes the chatbot provides overloaded and possibly logical errors, however, in combination with human expert knowledge the productivity can be increased. For example, first drafts of a business process can be generated and then be refined iteratively, from low-detailed to high-detailed business process models."
R1MISBBC,expert,6,6,6,7,"The tool has a lot of potential to address the first part of the modelling activity, where a raw version of the diagram is created. This will have a huge impact and save so much time, since the modellers will only have to fine-tune the diagram. The checkers are interesting yet the autofix capability needs to be improved, in some cases, the proposed solution was not correct, and I was not able to give feedback on the LLM."
R2ZKDKCV,expert,2,2,3,3,"For an expert, the tool makes the experience more difficult and frustrating compared to drawing the diagram by hand. In particular, the tool was able to correctly model the process only if I described with fine details how the process would have looked like. When I gave less detailed instructions, the tool drew a completely different model, changing parts that were not affected by the changes I wanted to be made. The model checker was able to detect issues, but completely incapable of auto-repairing the model. There was no way for the tool to understand the concept of empty pool, or to draw data associations."
R2LXDUWR,expert,5,4,6,5,"I ran the checker feature initially and then later. I recorded some observations below.

-------------------------------------------------------------
Initialy:

Collaboration Checker ERROR:
This process is unsound due to dead tokens.
Highlight Elements did nothing

Data Flow Checker WARNING:
Data Object is neither written to nor read in some paths: ""Service Request"".
The initital event (highligted by the error) writes to the data object.

Data Object is neither written to nor read in some paths: ""Notification"".
The same.

Data Object is neither written to nor read in some paths: ""Next Service Time"".
An activity writes to this data object.

-----------------------------------
After making changes

This process is unsound due to dead tokens.
Highlight now works. It highlights two message-flow arcs and provides an explanation. One of the highlighted arcs does not seem relevant to the problem.
The autofix is reasonable, but I don't think we want to model not recievening a fine from the police in this case.

I used the autofix to remove some data objects and it worked well.

------------------------------------
Other feedback

It would be helpful if the tool highlited the parts of the model that were altered. It would make it much easier to check what changed.
"
