sessionKey,case,run,cluster,userType,overallCorrectness,overallRelevance,overallCompleteness,Correctness.pools&Lanes,Correctness.messageFlow,Correctness.dataFlow,Relevance.pools&Lanes,Relevance.messageFlow,Relevance.dataFlow,Completeness.pools&Lanes,Completeness.messageFlow,Completeness.dataFlow,question_comments,diagram_comments
R1CAIXTJ,6,3,3,expert,3,3,3,3,4.0,2,3,4.0,2,3,4.0,2,,
R1CAIXTJ,4,3,2,expert,2,2,2,2,2.0,2,2,2.0,2,2,2.0,2,"Does ""Pools & Lanes"" include control flow, activities, gateways, and events?
Why do we have to ""reassessing the document compliance"" when the payment arrives?","I assume that ""Pools & Lanes"" include evaluation of control-flow, activities, gateways, and events? 

there is no possibility to reject a request, every case ends with a hearing date being allocated
allocate hearing date is only done if payment was late
owner never receives the date
waiting for payment should be modeled with some event-based gateway with the option to cancel waiting for the payment
payment is at the inscription of the gate, but never checked with an activity
owner only has one activity. At least the compensation request should be written, before send
receive compensation request from owner -> receive compensation request, Send Payment to Tribunal -> Send Payment Record 
too much objects in the model, no need to model Request, Fees, and Record in owner
..."
R2BVQTYK,5,1,3,expert,2,3,2,7,2.0,2,7,7.0,2,7,2.0,2,(comment regarding the textual description: it is unclear to me what a “Pickerl” is),"“Receive service confirmation from mechanic” waits for message from car owner, not from the car service facility.
The “while repair not done” gateway in the car service facility pool is labelled incorrectly. It should be labelled as “is repair completed?” with outgoing flows “yes” and “no”, or the task “Send status update via email” should be a loop task. In the latter case, the “while repair not done” gateway should be removed. 
The task “Complete repair” is only executed after the repair is done. The process will therefore get stuck in an endless loop of sending status update emails. 
There are superfluous/unused data objects: “service report” for Car service facility, “fine” and “payment” for car owner and “service reminder” for policy system.
Fines should be modelled as a data store since they should be persistent after the process is completed. Also the next service date and payments would be better modelled as data stores.
It is not necessary to include notification as a data object with the corresponding data flows for “send notification to owner” in the police system pool and for “receive notification from police system” in the car owner pool.
There are missing message flows between car owner and car service facility (e.g., for “send status update via email” and “notify owner repair done”). Also between Police system and car owner, for “send fine to owner”.
Receiving the fine and paying the car service is missing from the car owner pool."
R2BVQTYK,2,1,1,expert,6,6,7,7,7.0,6,7,7.0,6,7,7.0,7,,"Given the textual description, it does not seem necessary to split up the ordering of the report into two tasks (""specify year and month"" and ""order cash-out report"").
I would model the cash-out reports in data stores so they are persistent and can be consulted after the process is completed."
R1DJVSFC,1,2,1,expert,5,5,6,3,1.0,5,5,2.0,5,3,2.0,5,,The customer pool & corresponding message flow is missing in the generated model. The three prepare activities appear as an inadequate translation of message flows (prepare and send could be joined together for each item). However the parallel and xor logic is well rendered!
R1DJVSFC,3,2,2,expert,5,5,5,2,2.0,5,5,2.0,5,2,1.0,6,,
R1UDJTYD,2,2,1,expert,5,5,6,3,4.0,6,3,6.0,6,6,5.0,6,,"I would have modeled the process with one pool for the organization and two lanes for the roles. Potentially, the process would be simpler.
Management cannot complete if there is no report."
R1UDJTYD,5,2,3,expert,5,6,5,7,4.0,5,7,5.0,6,7,4.0,4,,"There are no update messages from the mechanic to the owner. Similarly, there are no messages related to payment (although the description remains vague on this aspect).
The mechanic portion seems incomplete in general. The flows from the exclusive gateway are not labeled.
If the car is no longer registered, a fine is issued. The owner must pay a fine to complete
"
R1MXHSCE,2,3,1,expert,7,7,7,7,7.0,5,7,7.0,7,7,7.0,7,Kind of awkward to evaluate the message flow since there is none in this model. ,
R1MXHSCE,5,3,3,expert,5,3,6,6,3.0,6,5,7.0,6,7,6.0,7,,"Bad readability (crossing lines), data element ""Fine"" in the Car Owner pool is initialized but never referenced, missing message flow between car service and car owner (e.g., sending repair status etc.)"
R1XSJGHP,4,2,2,expert,6,7,7,7,7.0,6,7,7.0,7,7,7.0,7,,"Minor remark regarding correctness: Checking if the fee has been paid should be a separate activity, reading from the request"
R1XSJGHP,6,2,3,expert,5,6,7,7,3.0,7,7,6.0,7,7,7.0,7,,
R1MLAFMY,3,3,2,expert,4,5,5,2,2.0,5,5,4.0,6,2,2.0,5,"How to rate semantic process model errors,?   e.g. Loop, I think there is a loop just before the end of the process 
How to you evaluate semantic errors, long process runtimes (in the process? e.g. loop, 10 days waiting time if the product is not available before next product on list is ordered)
","
The data flow is not correct. the wholesaler pool is missing (to trigger event gateway).  I believe there is a loop just before the end of the process?  Is the last gateway syntactically correct. Never saw this  'For ...' before.
What happens if no product is available?
numbering the tasks and gateways would help to comment the model."
R1MLAFMY,1,3,1,expert,5,6,5,6,3.0,5,6,6.0,6,6,3.0,5,"It was not really clear,  how problems (see above) should be assessed and how to differentiate between relevance, competeness and correctness of the model elements.","I would have modeled the customer differently and more precisely (included send application and individual events for the respective messages). that would also affect the data flow (in client) and message flow.  In my opinion, the account itself is missing as a datapool in ‘Bank’.  There could also be several lanes in Bank. Whether Welcome, Bank Card and Pin have to be sent in separate messages is not clear from the description.  Possibly only one could be enough. 
"
R2EYARSS,1,2,1,expert,5,6,6,5,4.0,6,5,4.0,6,5,4.0,6,"The assessment of correctness, relevance and completness is a bit subjective. Based on the requirements of the modeler and use case the provided model can be more than sufficent although it lacks in terms of some details like message flows (or usage of specific task types) and pool (customer).","- It is unclear whether the data objects are modeled once and linked to all corresponding tasks or modeled separately for each task.
- However, the generated model serves as a very good starting point for further refinement."
R2EYARSS,3,2,2,expert,5,4,5,6,4.0,5,6,4.0,4,6,4.0,5,,"- lacks in terms of data object and flows (e.g. first task - why does a ""read"" oepration write to object ""order""?)
- for me, the lane ""Warehouse"" is not really relevant
- Due to the supported BPMN constructs, the loop is ok, but lacks in comprehensibility and correctness (only if a strict sequential order is wanted).
- uncleare time intermediate event at the end of the process (""End of Order Processing"")
"
R1MISBBC,4,1,2,expert,5,7,7,6,7.0,2,7,7.0,2,7,7.0,2,,"In the diagram, the process starts when the owner starts a compensation request, which is different from what has been described in the textual description. 
The owner process is stuck (it never finishes) if the chasher process selects the ""yes"" branch on the XOR gateway. 
Data objects are not linked to other BPMN elements. 
The element ""start compensation request"" should be a conditional start event. 
It is not common to have the same name for a pool and the lane (I am referring to the owner), and to have only one lane inside a pool. However, it is not an error since the standard does not specify anything on these aspects. "
R1MISBBC,6,1,3,expert,5,7,6,6,7.0,3,6,7.0,3,6,7.0,3,,"On the clerk lane, ""assign clerk"" seems out of place. Logically, the clerk should be assigned by another role. Yet, this is not clear in the textual description as well. If it's ok to keep that activity as executed by the clerk, it should be placed as the first activity, before the (assigned) clerk actually performs any other tasks. 
The ""regulator"" lane is paced inside the ""insurance"" lane, which is not specified in the text. 
Some tasks of the regulator are over-abstracted: the text specifiers that the regulator performs phone calls and may visit the place of the incident. This is not specified in the model. 
The last part of the process in the diagram is executed by the clerk, yet this is not specified by the text.  
""Insurance agent"" pools contains an ""agent"" lane, that is a repetition
As for the diagram before: the start event should be of type conditional; all data flows are missing ( replaced by labels); Beneficiary is both a lane and a pool. "
R2ZKDKCV,1,3,1,expert,4,6,5,7,2.0,1,7,3.0,1,7,2.0,1,,"While the process of the bank is fairly well structured, the same cannot be said for the customer: a message flow from customer to the start event of the bank process is missing, and all the message flows from the bank to the customer are intercepted by the same event. Either the process of the customer is more detailed, or it is simply left as a blank pool with incoming and outgoing message flows."
R2ZKDKCV,3,3,2,expert,6,7,6,5,7.0,6,7,7.0,6,7,7.0,6,"I found out only now that, instead of data associations, comments are used to represent the data flow. This should be pointed out in the introduction.","The event-based-exclusive gateway is improperly used: if the timer expires, the process no longer waits for the product to be received. Instead of an event-based-exclusive gateway, a parallel gateway should be used."
R2LXDUWR,5,3,3,expert,5,5,6,6,2.0,5,6,5.0,6,7,6.0,6,,"The process does not have a clear start, there is a loop in the overall message-flow that starts each process.

Payment via App is not modeled in the customer, but in the car service facility.

The car owner sends confirmation to the police before going to the service facility. Should the car owner even be the one sending the notification to the police? It would make more sense if it was the mechanic doing it.

There is a Customer Service swim lane at the Car Service Facility.

The police sends the fine to the customer, but the customer does not receive it.

The next service time should be sent from the mechanic to the police?"
R2LXDUWR,2,3,1,expert,7,7,7,7,,7,7,,7,7,,7,"there is no message-flow so I gave a 4, but feel free to change this score to whatever value is appropriate for such cases.",
R2YCRAQK,4,1,2,expert,6,6,7,5,6.0,6,5,6.0,6,7,7.0,7,"1) I assume with data flow you mean the sequence flow + data that is transferred via this sequence flow. 
2) Regarding question about completeness I voted for Fully agree, since I compared the diagram with the textual input. I cannot compare it with real domain since I am not a domain expert of tribunal processes. As far as I could see the diagram contains even modeling elements which were not explicitly described in the text.
3) Regarding correctness and relevance see  Answer to Question 7. Most of the things  I mentioned in the answer of the previous question are a matter of modeling style and/or a matter of how someone is interpreting the semantics of words in the given textual input, which can lead to modle variants. In my opinion there is just one thing which seems to be incorrect -> the behavior of the pool owner. Explanation see above.
","Tribunal not really good naming but OK! Can be left as it is.
Pool + Lane same name, could be optimized here. 
According to the text, it should actually be checked whether acceptability and compliance are OK. It is not clear from the text passage what is meant by compliance. Leaves room for interpretation in the text. Later in the text it is implied that compliance may also mean that the fee has been paid, as this check step is repeated.  The solution with “Fees Paid with Request” seems to me to be sensibly placed at this point. Otherwise you would have to do another check. However, this somehow does not match the label of the previous task (“Check Request Acceptability and Compliance”). As a reader who is not a domain expert for this type of court case, you would expect the XOR Gateway to be labeled something like: “Acceptability and Compliance given?”.
However, there is a problem in the Pool Owner. On the one hand, according to the textual description, it is expected or described that the owner could already pay the fee at a time before  the cashier makes his first check regarding acceptability and compliance. On the other hand in the BPMN diagram, the owner only pays the fee in his pool after he has received the fee notice and the payment notification to the tribunal only takes place afterwards. 
I am not an expert on legal proceedings, but does the payment confirmation have to be sent separately? There is nothing in the text that says that an extra process step has to be carried out by the owner. Don't you just look at the bank account to see if a payment has been received? In any case, if this extra process step should also be modeled, then I think that's good, because as I said it wasn't in the text.  

Also to be discussed in the Pool Tribunal / Lane Cashier is the message send event “Send Fee Notice to Owner”. On the one hand, good if it has to be modeled additionally, because it was not in the text. On the other hand, the question arises: What is the meaning of “Produce Fees Notice”?  Does it perhaps already include the fact that the fee notice is sent to the owner?
There is also the question of whether a separate pool is needed for owners. In a university environment, where students are supposed to learn BPMN and modeling options, it does not hurt to model 2 pools. In a typical BPMN modeling task, 2 pools are also expected. In practice, where modeling is probably done from the perspective of the court, the owner pool is probably not needed. Of course, the text does not provide any information about what is actually required. Therefore, the modeling of 2 pools seem to basically correct regarding this question.
"
